rank,dish_type,cuisine,factor_score,demand_signal,order_volume,available_on_dinneroo,gap_type,reason,source,ideal_presentation,midweek_fit_score,on_dinneroo_menu,menu_item_count,dinneroo_guidance,kid_friendly_notes
48,Katsu Curry,Japanese,3.4,High,40258,True,,"11% wishlist, kid-friendly, familiar",OG Survey,Family Katsu Bundle (4 portions + rice + sides) - £25,4,True,253,"Mild curry sauce standard, rice separate, include veg side, chicken clearly visible","Generally kid-friendly, familiar flavours"
49,Fajitas / Burritos,Mexican,3.4,High,35428,True,,"High on ALL factors: shareable, customisable, healthy",OG Survey,Fajitas / Burritos Family Bundle - £25,4,True,54,"Build-your-own format, mild fillings, all components separate","Generally kid-friendly, familiar flavours"
50,Chicken (Sweet & Sour / Sweet Chilli),Asian,3.4,High,35428,True,,"High on ALL factors: shareable, customisable, healthy",OG Survey,Chicken (Sweet & Sour / Sweet Chilli) Family Bundle - £25,3,True,468,"Ensure family portions, mild options available, balanced presentation",May need mild option or familiar presentation for kids
51,Pasta (Bolognese/Tomato),Italian,3.4,High,35428,True,,"88% eaten regularly, high customisable",OG Survey,Pasta (Bolognese/Tomato) Family Bundle - £25,4,True,185,"Plain pasta option for kids, sauce on side, include garlic bread","Generally kid-friendly, familiar flavours"
52,Tacos / Enchiladas,Mexican,3.4,High,35428,True,,"11% wishlist, high customisable + healthy",OG Survey,Tacos / Enchiladas Family Bundle - £25,3,True,10,"Soft shells for young kids, mild fillings, build-your-own format",May need mild option or familiar presentation for kids
53,Pizza,Italian,3.4,Medium,2013,True,,"87% eaten regularly, high shareable + customisable",OG Survey,Family Pizza Deal (2 large pizzas + sides) - £25,2,True,175,"Include veggie toppings as standard, add side salad, smaller kid portions","Adapt for kids: add veg sides, smaller portions, mild options"
54,Seafood Paella Family Pot,Spanish,3.4,Low,0,False,Supply Gap,"Shareable, balanced, premium feel.",LLM reasoning,Seafood Paella Family Pot Family Bundle - £25,3,False,0,"Ensure family portions, mild options available, balanced presentation",May need mild option or familiar presentation for kids
55,Curry & Rice (Tikka/Korma),Indian,3.25,High,79916,True,,"High shareable + customisable, 74% eaten regularly",OG Survey,Curry & Rice (Tikka/Korma) Family Bundle - £25,4,True,316,"Mild korma/tikka option standard, rice + naan separate, raita for cooling","Generally kid-friendly, familiar flavours"
56,Fish & Chips,British,3.25,Low,0,False,Supply Gap,"63% eaten, 9% wishlist, British staple",OG Survey,Fish & Chips Family Bundle - £25,2,True,3,"Battered fish + chips, peas/beans, tartare on side","Adapt for kids: add veg sides, smaller portions, mild options"
57,Burger & Chips,American,3.25,Low,0,False,Supply Gap,"70% eaten, high customisable",OG Survey,Burger & Chips Family Bundle - £25,2,True,3,"Quality ingredients, smaller kid burger option, include salad/veg side","Adapt for kids: add veg sides, smaller portions, mild options"
58,Stir Fry / Noodles,Asian,3.1,High,65763,True,,"High shareable + healthy, familiar to kids",OG Survey,Stir Fry / Noodles Family Bundle - £25,4,True,5,"Plain noodle option for fussy eaters, sauce on side, familiar proteins","Generally kid-friendly, familiar flavours"
59,Thai Curry (Red/Green/Massaman),Thai,3.1,High,51971,True,,"19% wishlist (3rd highest), high shareable + customisable",OG Survey,Thai Curry (Red/Green/Massaman) Family Bundle - £25,4,True,60,"Mild korma/tikka option standard, rice + naan separate, raita for cooling","Generally kid-friendly, familiar flavours"
60,Vietnamese Rice Paper Rolls + Pho Combo,Vietnamese,3.1,High,51764,True,,"Healthy, shareable, customisable.",LLM reasoning,Vietnamese Rice Paper Rolls + Pho Combo Family Bundle - £25,4,True,146,"Noodles and broth separate for kids to mix, mild broth option, familiar toppings","Generally kid-friendly, familiar flavours"
61,Cottage/Shepherds Pie,British,3.1,High,35428,True,,"17% wishlist (2nd highest), high shareable",OG Survey,Cottage/Shepherds Pie Family Bundle - £25,3,False,0,"Ensure family portions, mild options available, balanced presentation",May need mild option or familiar presentation for kids
62,Chilli & Rice,Tex-Mex,3.1,High,27945,True,,"High on ALL factors: shareable, customisable, healthy",OG Survey,Chilli & Rice Family Bundle - £25,3,True,57,"Ensure family portions, mild options available, balanced presentation",May need mild option or familiar presentation for kids
63,Lasagne,Italian,3.1,Low,0,False,Supply Gap,"62% eaten, 16% wishlist (highest!), high shareable",OG Survey,Lasagne Family Bundle - £25,3,True,26,"Ensure family portions, mild options available, balanced presentation",May need mild option or familiar presentation for kids
