source_file,response_id,column,raw_text,matched_keyword,matched_intent_phrase,cuisine_group,auto_classification,is_valid_request,classification,reviewer,notes
POST_ORDER_SURVEY-CONSOLIDATED.csv,1413,"Overall, how could this dish be improved to suit your needs better?",Chicken was slightly dry in the pad Thai. Everything else was good ,thai,,Thai,Dish Feedback (exclude),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,931,Other - Write In (Required):What kind of cuisine was it?,Malaysian and Roast,roast,,British,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,526,Other - Write In (Required):Which restaurant did you order from?,Golden Dim Sum,dim sum,,Chinese,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,442,What further improvements would you suggest (if any)?,"More restaurants and more variety - there are 3 places I can order a katsu curry from but nowhere i can get a salad. Id like to see Nandos, Cafe Rouge and Giraffe join Family Dinneroo in future ",nando,,Nando's (Peri-Peri),Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,1035,What further improvements would you suggest (if any)?,"More nearby restaurant options  like TGI FRIDAYS,  Wildwood, Nandos, PREZZO",nando,,Nando's (Peri-Peri),Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,166,Other - Write In (Required):What made you decide to order delivery that night? (Please select all that apply).1,Really fancied Thai flavours but didn't have time to create them myself.,thai,,Thai,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,208,What further improvements would you suggest (if any)?,"Mix options, so pad Thai and katsu options in the same order",thai,,Thai,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,865,"Overall, how could this dish be improved to suit your needs better?",Nothing. The free prawn Thai crackers were a lovely touch ,thai,,Thai,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,1534,Other - Write In (Required):Why did you choose this restaurant? (Please select all that apply).1,It was new years day and not many alternative Thai restaurants were available.,thai,,Thai,Mention (no intent),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,1588,Other - Write In (Required):Why did you choose this dish? (Please select all that apply).1,love thai food,thai,,Thai,Mention (no intent),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,793,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?",Add more restaurants. So far most seems to be Chinese or Thai,chinese,add more,Chinese,Negative (don't want more),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,142,"Overall, how could this dish be improved to suit your needs better?","If this dish (cauliflower green Thai curry) is to be branded as a family meal, the portion size needs to be improved. I hope we experienced a one-off error: with the food served to us being less than usual. The calories that the dish was supposed to provide suggest that our experience can't have been the norm. Our experience with Bill's chicken schwarma was completely different with plenty of food available, so what we received for the cauliflower green Thai curry was a real shock. The serving s",thai,,Thai,Negative (don't want more),False,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,793,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?",Add more restaurants. So far most seems to be Chinese or Thai,thai,add more,Thai,Negative (don't want more),False,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,95,What further improvements would you suggest (if any)?,"Add more options, not just curry. I find there are no burger options",burger,add more,American,Request,True,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,118,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?","More food choices, Chinese food definitely.  Burger places too. ",burger,definitely,American,Request,True,,,
POST_ORDER_SURVEY-CONSOLIDATED.csv,1516,What further improvements would you suggest (if any)?,"Bigger selection of restaurants available to order from, perhaps more Chinese restaurants. ",chinese,perhaps more,Chinese,Request,True,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,118,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?","More food choices, Chinese food definitely.  Burger places too. ",chinese,definitely,Chinese,Request,True,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,190,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?",if more restaurants could offer it - seems to be all the same offer - even if it is the same restaurants. e..g. for Dishoom we tried the Family Deliveroo - but really did not like the dahl but love the biriyani so if we can pick and choose meal options that will be great. Also to include other cuisines as well - e.g. Chinese?,chinese,include other cuisines,Chinese,Request,True,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,639,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?",Please include more restaurants like Nandos as currently it is restricted to only 6,nando,include more,Nando's (Peri-Peri),Request,True,,,
DROPOFF_SURVEY-CONSOLIDATED.csv,681,"What improvements would you suggest (if any) to the ""Family Dinneroo"" or ""Feed the Family for £25"" offering?",If you can include more restaurants like Nando's it will be a great option.,nando,include more,Nando's (Peri-Peri),Request,True,,,
