rank,dish_type,priority_score,category,evidence_type,track_a_score,track_b_score,discovery_score,order_volume,avg_rating,repeat_rate,survey_n,latent_demand_mentions,cuisine,gap_type,potential_partners,recommended_action,evidence_flag,adult_satisfaction,kids_happy,source,discovery_reason
18,Build Your Own Grain Bowl Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Build Your Own Grain Bowl Family Pack with Farmer J,Discovery: 4.7/5,,,Smart Discovery,"Healthy, customizable - each family member picks toppings"
19,Vietnamese Rice Paper Rolls Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Vietnamese,,Pho,Test Vietnamese Rice Paper Rolls Family Pack with Pho,Discovery: 4.7/5,,,Smart Discovery,"Healthy, fun for kids to eat, shareable - fits balanced midweek positioning"
20,Butter Chicken Family Feast,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Indian,,Dishoom,Test Butter Chicken Family Feast with Dishoom,Discovery: 4.7/5,,,Smart Discovery,"Mild, creamy curry that kids love - Dishoom quality would elevate this"
21,Quesadilla Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Mexican,,Tortilla,Test Quesadilla Family Pack with Tortilla,Discovery: 4.7/5,,,Smart Discovery,"Kid-favorite, easy to share, cheese is universally loved"
22,Falafel & Hummus Family Box,4.6,Discover,Discovery,,,4.6,0,,,0.0,0.0,Middle Eastern,,New recruitment needed,Test Falafel & Hummus Family Box with New recruitment needed,Discovery: 4.6/5,,,Smart Discovery,"Vegetarian option, healthy perception, shareable"
23,Chicken & Rice Plain Family Meal,4.53,Discover,Discovery,,,4.53,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Chicken & Rice Plain Family Meal with TBD - based on cuisine,Discovery: 4.5/5,,,Smart Discovery,"Simple, mild, universally acceptable"
24,Biryani Family Pot,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Indian,,Dishoom,Test Biryani Family Pot with Dishoom,Discovery: 4.5/5,,,Smart Discovery,Dishoom has the kitchen capability for biryani - premium rice dish fits their brand
25,Roast Dinner Family Platter,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,British,,Bill's,Test Roast Dinner Family Platter with Bill's,Discovery: 4.5/5,,,Smart Discovery,"British classic, high latent demand, balanced meal"
26,Sushi Family Platter,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Healthy,,Itsu,Test Sushi Family Platter with Itsu,Discovery: 4.5/5,,,Smart Discovery,"Mix of kid-friendly (cucumber, avocado) and adult options"
27,Teriyaki Rice Bowl Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Healthy,,Itsu,Test Teriyaki Rice Bowl Family Bundle with Itsu,Discovery: 4.5/5,,,Smart Discovery,"Mild teriyaki is kid-friendly, rice bowls easy to portion"
28,Katsu Curry Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Asian,,Wagamama,Test Katsu Curry Family Bundle with Wagamama,Discovery: 4.5/5,,,Smart Discovery,Already top performer - family bundle format would increase value
29,Pho Family Sharing Bowl,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Vietnamese,,Pho,Test Pho Family Sharing Bowl with Pho,Discovery: 4.5/5,,,Smart Discovery,"Large format pho for family sharing - already popular, just needs family sizing"
30,Veggie Burrito Bowl Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Mexican,,Tortilla,Test Veggie Burrito Bowl Family Bundle with Tortilla,Discovery: 4.5/5,,,Smart Discovery,"Addresses vegetarian gap, customizable, balanced"
31,Spaghetti Meatballs Family Feast,4.4,Discover,Discovery,,,4.4,0,,,,,Italian,,TBD,Find partner for Spaghetti Meatballs Family Feast,Discovery: 4.4/5,,,,
32,Sweet & Sour Chicken Family Meal,4.35,Discover,Discovery,,,4.35,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Sweet & Sour Chicken Family Meal with New recruitment needed,Discovery: 4.3/5,,,Smart Discovery,"Classic kid-friendly Chinese, high latent demand"
33,Chicken Chow Mein Family Bundle,4.35,Discover,Discovery,,,4.35,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Chicken Chow Mein Family Bundle with New recruitment needed,Discovery: 4.3/5,,,Smart Discovery,"Familiar noodles, mild, kid-friendly"
34,Chicken Chow Mein Family Bundle,4.3,Discover,Discovery,,,4.3,0,,,,,Chinese,,TBD,Find partner for Chicken Chow Mein Family Bundle,Discovery: 4.3/5,,,,
35,Chicken Gyros Family Box,4.2,Discover,Discovery,,,4.2,0,,,,,Greek,,TBD,Find partner for Chicken Gyros Family Box,Discovery: 4.2/5,,,,
36,Sunday Roast Family Platter,4.2,Discover,Discovery,,,4.2,0,,,,,British,,TBD,Find partner for Sunday Roast Family Platter,Discovery: 4.2/5,,,,
37,Chicken Tikka Wrap Box,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,Indian,,Dishoom,Test Chicken Tikka Wrap Box with Dishoom,Discovery: 4.2/5,,,Smart Discovery,"Wraps are easy to portion for families, tikka is kid-friendly"
38,Banh Mi Family Box,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,Vietnamese,,Pho,Test Banh Mi Family Box with Pho,Discovery: 4.2/5,,,Smart Discovery,"Sandwiches are kid-friendly, easy to customize for fussy eaters"
39,Chicken Pie with Mash & Veg,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,British,,Bill's,Test Chicken Pie with Mash & Veg with Bill's,Discovery: 4.2/5,,,Smart Discovery,"Comfort food, balanced with veg, easy to share"
40,Pad Thai,4.14,Expand,Measured,4.64,3.4,,2353,4.54,,54.0,37.0,Thai,No Gap,Banana Tree,Roll out Pad Thai to more zones - proven performer,Performance: 4.6/5 | Opportunity: 3.4/5 | Survey n=54 | Orders: 2353,0.91,0.81,Track A,
41,Biryani,4.12,Expand,Measured,5.0,2.8,,454,4.53,,,7.0,Indian,No Gap,Dishoom,Roll out Biryani to more zones - proven performer,Performance: 5.0/5 | Opportunity: 2.8/5 | Orders: 454,,,Track A,
42,Chicken Enchiladas Family Tray,4.1,Discover,Discovery,,,4.1,0,,,,,Mexican,,TBD,Find partner for Chicken Enchiladas Family Tray,Discovery: 4.1/5,,,,
43,Lamb Kofta Family Platter,4.1,Discover,Discovery,,,4.1,0,,,,,Middle Eastern,,TBD,Find partner for Lamb Kofta Family Platter,Discovery: 4.1/5,,,,
44,Fried Rice,4.06,Expand,Measured,4.57,3.3,,2418,4.46,,16.0,0.0,Chinese,Supply Gap,"Pho, Wagamama, Itsu",Roll out Fried Rice to more zones - proven performer,Performance: 4.6/5 | Opportunity: 3.3/5 | Survey n=16 | Orders: 2418,0.94,0.88,Track A,
45,Chicken Yakitori Family Box,4.0,Discover,Discovery,,,4.0,0,,,,,Japanese,,TBD,Find partner for Chicken Yakitori Family Box,Discovery: 4.0/5,,,,
46,Crispy Beef Family Meal,4.0,Discover,Discovery,,,4.0,0,,,,,Chinese,,TBD,Find partner for Crispy Beef Family Meal,Discovery: 4.0/5,,,,
47,Chinese Family Meal,3.96,Recruit,Opportunity,,3.96,,31,,,0.0,58.0,Chinese,Supply Gap,New recruitment needed,Recruit partners to offer Chinese Family Meal (try: New recruitment needed),Opportunity: 4.0/5 | Orders: 31,,,Track B,
48,Thai Green Curry Family Pot (Mild),3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,Thai/Southeast Asian,,Banana Tree,Test Thai Green Curry Family Pot (Mild) with Banana Tree,Discovery: 4.0/5,,,Smart Discovery,"Mild version for families, coconut base is kid-friendly"
49,Fish & Chips Family Bucket,3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,British,,Bill's,Test Fish & Chips Family Bucket with Bill's,Discovery: 4.0/5,,,Smart Discovery,"British staple, high latent demand, kid-friendly"
50,Pad Thai Family Bundle,3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,Thai/Southeast Asian,,Banana Tree,Test Pad Thai Family Bundle with Banana Tree,Discovery: 4.0/5,,,Smart Discovery,"Mild noodle dish, popular with kids, easy to share"
51,Risotto Family Sharing Bowl,3.9,Discover,Discovery,,,3.9,0,,,,,Italian,,TBD,Find partner for Risotto Family Sharing Bowl,Discovery: 3.9/5,,,,
52,Chicken & Leek Pie,3.9,Discover,Discovery,,,3.9,0,,,,,British,,TBD,Find partner for Chicken & Leek Pie,Discovery: 3.9/5,,,,
53,Tempura Family Selection,3.9,Discover,Discovery,,,3.9,0,,,,,Japanese,,TBD,Find partner for Tempura Family Selection,Discovery: 3.9/5,,,,
54,Sushi,3.87,Expand,Measured,4.43,3.02,,1041,4.7,,30.0,12.0,Japanese,No Gap,"Itsu, Iro Sushi",Roll out Sushi to more zones - proven performer,Performance: 4.4/5 | Opportunity: 3.0/5 | Survey n=30 | Orders: 1041,0.93,0.68,Track A,
55,Shawarma,3.81,Expand,Measured,4.6,2.62,,1348,4.68,1.0,26.0,0.0,Middle Eastern,Supply Gap,New recruitment needed,Roll out Shawarma to more zones - proven performer,Performance: 4.6/5 | Opportunity: 2.6/5 | Survey n=26 | Orders: 1348,0.88,0.8,Track A,
56,Nachos Grande Family Platter,3.8,Discover,Discovery,,,3.8,0,,,,,Mexican,,TBD,Find partner for Nachos Grande Family Platter,Discovery: 3.8/5,,,,
57,Mediterranean Salad Family Platter,3.8,Discover,Discovery,,,3.8,0,,,,,Healthy/Fresh,,TBD,Find partner for Mediterranean Salad Family Platter,Discovery: 3.8/5,,,,
58,Fish Pie Family Bake,3.8,Discover,Discovery,,,3.8,0,,,,,British,,TBD,Find partner for Fish Pie Family Bake,Discovery: 3.8/5,,,,
59,Rice Bowl,3.76,Expand,Measured,4.36,2.86,,3127,4.39,,27.0,0.0,Healthy/Fresh,No Gap,"Pho, Wagamama, Itsu, Farmer J",Roll out Rice Bowl to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.9/5 | Survey n=27 | Orders: 3127,0.85,0.95,Track A,
60,Noodles,3.74,Expand,Measured,4.43,2.7,,3296,4.57,,62.0,0.0,Global,No Gap,"Pho, Wagamama, Itsu, Banana Tree",Roll out Noodles to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.7/5 | Survey n=62 | Orders: 3296,0.87,0.72,Track A,
61,Quinoa Bowl Family Bundle,3.7,Discover,Discovery,,,3.7,0,,,,,Healthy/Fresh,,TBD,Find partner for Quinoa Bowl Family Bundle,Discovery: 3.7/5,,,,
62,Pho,3.7,Expand,Measured,4.64,2.29,,4474,4.54,,130.0,0.0,Vietnamese,No Gap,Pho,Roll out Pho to more zones - proven performer,Performance: 4.6/5 | Opportunity: 2.3/5 | Survey n=130 | Orders: 4474,0.95,0.83,Track A,
63,Vegetable Spring Rolls Family Pack,3.7,Discover,Discovery,,,3.7,0,,,,,Chinese,,TBD,Find partner for Vegetable Spring Rolls Family Pack,Discovery: 3.7/5,,,,
64,Fajitas,3.69,Expand,Measured,4.36,2.69,,591,4.15,,18.0,0.0,Mexican,Quality Gap,Tortilla,Roll out Fajitas to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.7/5 | Survey n=18 | Orders: 591,0.94,0.83,Track A,
65,Lasagne,3.56,Expand,Measured,4.0,2.9,,1095,4.17,,,25.0,Italian,No Gap,New recruitment needed,Roll out Lasagne to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.9/5 | Orders: 1095,,,Track A,
66,Mac & Cheese,3.45,Expand,Measured,4.29,2.19,,1295,4.51,,23.0,0.0,Global,No Gap,New recruitment needed,Roll out Mac & Cheese to more zones - proven performer,Performance: 4.3/5 | Opportunity: 2.2/5 | Survey n=23 | Orders: 1295,0.87,0.81,Track A,
67,Roast Dinner,3.45,Monitor,Opportunity,,3.45,,286,,,0.0,34.0,British,No Gap,Bill's,Monitor Roast Dinner for changes in demand,Opportunity: 3.5/5 | Orders: 286,,,Track B,
68,Butter Chicken,3.42,Expand,Measured,4.0,2.56,,361,4.0,,,0.0,Indian,No Gap,"Dishoom, Farmer J",Roll out Butter Chicken to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.6/5 | Orders: 361,,,Track A,
69,Curry,3.39,Expand,Measured,4.0,2.48,,4910,4.45,,,0.0,Indian,No Gap,"Dishoom, Banana Tree",Roll out Curry to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.5/5 | Orders: 4910,,,Track A,
70,Fish & Chips,3.33,Monitor,Opportunity,,3.33,,31,,,0.0,39.0,Global,No Gap,New recruitment needed,Monitor Fish & Chips for changes in demand,Opportunity: 3.3/5 | Orders: 31,,,Track B,
71,Salad,3.32,Expand,Measured,4.0,2.31,,1084,4.47,,,0.0,Healthy/Fresh,No Gap,Farmer J,Roll out Salad to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.3/5 | Orders: 1084,,,Track A,
72,Grilled Chicken with Sides,3.3,Monitor,Opportunity,,3.3,,538,,,0.0,18.0,Global,No Gap,Farmer J,Monitor Grilled Chicken with Sides for changes in demand,Opportunity: 3.3/5 | Orders: 538,,,Track B,
73,Teriyaki,3.28,Expand,Measured,4.0,2.2,,395,4.0,,,0.0,Japanese,No Gap,Wagamama,Roll out Teriyaki to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.2/5 | Orders: 395,,,Track A,
74,Katsu,3.24,Fix,Measured,3.86,2.32,,11634,4.29,,59.0,0.0,Japanese,No Gap,Wagamama,Improve Katsu quality or deprioritize,Performance: 3.9/5 | Opportunity: 2.3/5 | Survey n=59 | Orders: 11634,0.81,0.78,Track A,
75,Pasta,3.15,Fix,Measured,3.79,2.2,,1336,4.28,,56.0,0.0,Italian,No Gap,New recruitment needed,Improve Pasta quality or deprioritize,Performance: 3.8/5 | Opportunity: 2.2/5 | Survey n=56 | Orders: 1336,0.75,0.82,Track A,
76,Shepherd's Pie,3.1,Monitor,Opportunity,,3.1,,329,,,0.0,17.0,British,No Gap,Bill's,Monitor Shepherd's Pie for changes in demand,Opportunity: 3.1/5 | Orders: 329,,,Track B,
77,Stir Fry,3.03,Monitor,Measured,3.71,2.0,,61,4.4,,3.0,0.0,Global,No Gap,New recruitment needed,Monitor Stir Fry for changes in demand,Performance: 3.7/5 | Opportunity: 2.0/5 | Survey n=3 | Orders: 61,0.33,0.0,Track A,
78,Korean Fried Chicken,3.02,Monitor,Opportunity,,3.02,,394,,,0.0,8.0,Korean,No Gap,Farmer J,Monitor Korean Fried Chicken for changes in demand,Opportunity: 3.0/5 | Orders: 394,,,Track B,
79,Pizza,2.98,Fix,Measured,3.36,2.42,,395,3.84,,95.0,0.0,Italian,No Gap,Franco Manca,Improve Pizza quality or deprioritize,Performance: 3.4/5 | Opportunity: 2.4/5 | Survey n=95 | Orders: 395,0.77,0.75,Track A,
80,Tacos,2.84,Monitor,Measured,3.0,2.6,,91,3.67,,,0.0,Mexican,Quality Gap,Tortilla,Monitor Tacos for changes in demand,Performance: 3.0/5 | Opportunity: 2.6/5 | Orders: 91,,,Track A,
81,Veggie Fajitas,2.72,Monitor,Opportunity,,2.72,,329,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Veggie Fajitas for changes in demand,Opportunity: 2.7/5 | Orders: 329,,,Track B,
82,Ramen,2.7,Monitor,Measured,3.0,2.25,,219,3.76,,,0.0,Japanese,No Gap,Wagamama,Monitor Ramen for changes in demand,Performance: 3.0/5 | Opportunity: 2.2/5 | Orders: 219,,,Track A,
83,Greek Mezze,2.66,Monitor,Opportunity,,2.66,,7,,,0.0,6.0,Greek,No Gap,New recruitment needed,Monitor Greek Mezze for changes in demand,Opportunity: 2.7/5 | Orders: 7,,,Track B,
84,Dim Sum,2.63,Monitor,Opportunity,,2.63,,0,,,0.0,0.0,Chinese,Supply Gap,New recruitment needed,Monitor Dim Sum for changes in demand,Opportunity: 2.6/5,,,Track B,
85,Burrito,2.63,Monitor,Opportunity,,2.63,,3,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Burrito for changes in demand,Opportunity: 2.6/5 | Orders: 3,,,Track B,
86,Quesadilla,2.6,Monitor,Opportunity,,2.6,,56,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Quesadilla for changes in demand,Opportunity: 2.6/5 | Orders: 56,,,Track B,
87,Chicken Pie,2.56,Monitor,Opportunity,,2.56,,34284,,,0.0,0.0,British,No Gap,"Farmer J, Bill's",Monitor Chicken Pie for changes in demand,Opportunity: 2.6/5 | Orders: 34284,,,Track B,
88,Halloumi Wrap,2.49,Monitor,Opportunity,,2.49,,158,,,0.0,3.0,Global,No Gap,New recruitment needed,Monitor Halloumi Wrap for changes in demand,Opportunity: 2.5/5 | Orders: 158,,,Track B,
89,Poke Bowl,2.4,Monitor,Opportunity,,2.4,,36,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Poke Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 36,,,Track B,
90,Grain Bowl,2.4,Monitor,Opportunity,,2.4,,193,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Grain Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 193,,,Track B,
91,Buddha Bowl,2.4,Monitor,Opportunity,,2.4,,0,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Buddha Bowl for changes in demand,Opportunity: 2.4/5,,,Track B,
92,Sweet & Sour Chicken,2.37,Monitor,Opportunity,,2.37,,1081,,,0.0,0.0,Global,No Gap,Farmer J,Monitor Sweet & Sour Chicken for changes in demand,Opportunity: 2.4/5 | Orders: 1081,,,Track B,
93,Bowl,2.37,Monitor,Opportunity,,2.37,,4492,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 4492,,,Track B,
94,Rotisserie Chicken,2.37,Monitor,Opportunity,,2.37,,0,,,0.0,0.0,Global,No Gap,Farmer J,Monitor Rotisserie Chicken for changes in demand,Opportunity: 2.4/5,,,Track B,
95,Korma,2.2,Monitor,Opportunity,,2.2,,0,,,0.0,0.0,Indian,No Gap,Dishoom,Monitor Korma for changes in demand,Opportunity: 2.2/5,,,Track B,
96,Cottage Pie,2.2,Monitor,Opportunity,,2.2,,0,,,0.0,0.0,British,No Gap,Bill's,Monitor Cottage Pie for changes in demand,Opportunity: 2.2/5,,,Track B,
97,Tikka Masala,2.2,Monitor,Opportunity,,2.2,,18,,,0.0,0.0,Indian,No Gap,Dishoom,Monitor Tikka Masala for changes in demand,Opportunity: 2.2/5 | Orders: 18,,,Track B,
98,Wrap,2.16,Monitor,Opportunity,,2.16,,44,,,0.0,0.0,Global,No Gap,New recruitment needed,Monitor Wrap for changes in demand,Opportunity: 2.2/5 | Orders: 44,,,Track B,
99,Burger,2.16,Monitor,Opportunity,,2.16,,60,,,0.0,0.0,American,No Gap,Bill's,Monitor Burger for changes in demand,Opportunity: 2.2/5 | Orders: 60,,,Track B,
100,Souvlaki,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,Greek,No Gap,New recruitment needed,Monitor Souvlaki for changes in demand,Opportunity: 2.0/5,,,Track B,
101,Bangers & Mash,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,British,No Gap,New recruitment needed,Monitor Bangers & Mash for changes in demand,Opportunity: 2.0/5,,,Track B,
102,Bibimbap,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,Korean,No Gap,New recruitment needed,Monitor Bibimbap for changes in demand,Opportunity: 2.0/5,,,Track B,
