dish_type,source,partner,cuisine,reason,factor_fit,recruitment_needed,evidence_type,framework_score,discovery_score,gap_type,factor_gap_addressed,gap_description,discovery_rank
Roast Dinner Family Platter,Partner Capability,Bill's,British,"British classic, high latent demand, balanced meal","{'kid_friendly': 4, 'balanced': 4, 'shareability': 5, 'adult_appeal': 4}",False,Discovery,4.25,4.45,,,,24
Veggie Burrito Bowl Family Bundle,Partner Capability,Tortilla,Mexican,"Addresses vegetarian gap, customizable, balanced","{'kid_friendly': 3, 'balanced': 4, 'vegetarian': 5, 'customisation': 5}",False,Discovery,4.25,4.45,,,,25
Teriyaki Rice Bowl Family Bundle,Partner Capability,Itsu,Japanese/Healthy,"Mild teriyaki is kid-friendly, rice bowls easy to portion","{'kid_friendly': 4, 'balanced': 4, 'portion_flexibility': 5, 'value': 4}",False,Discovery,4.25,4.45,,,,26
Sushi Family Platter,Partner Capability,Itsu,Japanese/Healthy,"Mix of kid-friendly (cucumber, avocado) and adult options","{'kid_friendly': 3, 'balanced': 4, 'shareability': 5, 'adult_appeal': 5}",False,Discovery,4.25,4.45,,,,27
Katsu Curry Family Bundle,Partner Capability,Wagamama,Japanese/Asian,Already top performer - family bundle format would increase value,"{'kid_friendly': 5, 'balanced': 3, 'shareability': 4, 'value': 5}",False,Discovery,4.25,4.45,,,,28
Pho Family Sharing Bowl,Partner Capability,Pho,Vietnamese,"Large format pho for family sharing - already popular, just needs family sizing","{'kid_friendly': 3, 'balanced': 4, 'shareability': 5, 'portion_flexibility': 5}",False,Discovery,4.25,4.45,,,,29
Sweet & Sour Chicken Family Meal,Cuisine Gap,New recruitment needed,Chinese,"Classic kid-friendly Chinese, high latent demand","{'kid_friendly': 5, 'balanced': 2, 'shareability': 4, 'fussy_eater': 4}",True,Discovery,4.25,4.35,Supply Gap,,,30
Chicken Chow Mein Family Bundle,Cuisine Gap,New recruitment needed,Chinese,"Familiar noodles, mild, kid-friendly","{'kid_friendly': 4, 'balanced': 3, 'fussy_eater': 4, 'value': 4}",True,Discovery,4.25,4.35,Supply Gap,,,31
Chicken Pie with Mash & Veg,Partner Capability,Bill's,British,"Comfort food, balanced with veg, easy to share","{'kid_friendly': 4, 'balanced': 4, 'shareability': 4, 'fussy_eater': 4}",False,Discovery,4.0,4.2,,,,32
Banh Mi Family Box,Partner Capability,Pho,Vietnamese,"Sandwiches are kid-friendly, easy to customize for fussy eaters","{'kid_friendly': 4, 'balanced': 3, 'customisation': 5, 'fussy_eater': 4}",False,Discovery,4.0,4.2,,,,33
Chicken Tikka Wrap Box,Partner Capability,Dishoom,Indian,"Wraps are easy to portion for families, tikka is kid-friendly","{'kid_friendly': 4, 'balanced': 4, 'customisation': 4, 'portion_flexibility': 4}",False,Discovery,4.0,4.2,,,,34
Thai Green Curry Family Pot (Mild),Partner Capability,Banana Tree,Thai/Southeast Asian,"Mild version for families, coconut base is kid-friendly","{'kid_friendly': 3, 'balanced': 4, 'shareability': 5, 'customisation': 3}",False,Discovery,3.75,3.95,,,,35
Pad Thai Family Bundle,Partner Capability,Banana Tree,Thai/Southeast Asian,"Mild noodle dish, popular with kids, easy to share","{'kid_friendly': 4, 'balanced': 3, 'shareability': 4, 'adult_appeal': 4}",False,Discovery,3.75,3.95,,,,36
Fish & Chips Family Bucket,Partner Capability,Bill's,British,"British staple, high latent demand, kid-friendly","{'kid_friendly': 5, 'balanced': 2, 'shareability': 4, 'value': 4}",False,Discovery,3.75,3.95,,,,37
